finalWorth,personName,city,source,industries,countryOfCitizenship,timestamp,gender,rank,worth_billion_usd,time
86587.664,Mukesh Ambani,Mumbai,Diversified,['Diversified'],India,1789134002641,M,23.0,86.59,2026-09-11 19:10:02.641
82599.387,Gautam Adani,Ahmedabad,"Infrastructure, commodities",['Diversified'],India,1789134002641,M,26.0,82.6,2026-09-11 19:10:02.641
39825.529,Savitri Jindal & family,Hisar,Steel,['Metals & Mining'],India,1789134002641,F,50.0,39.83,2026-09-11 19:10:02.641
34866.422,Lakshmi Mittal,,Steel,['Metals & Mining'],India,1789134002641,M,65.0,34.87,2026-09-11 19:10:02.641
28477.059,Cyrus Poonawalla,Pune,Vaccines,['Healthcare'],India,1789134002641,M,83.0,28.48,2026-09-11 19:10:02.641
27426.856,Shiv Nadar,Delhi,Software services,['Technology'],India,1789134002641,M,90.0,27.43,2026-09-11 19:10:02.641
25975.634,Dilip Shanghvi,Mumbai,Pharmaceuticals,['Healthcare'],India,1789134002641,M,95.0,25.98,2026-09-11 19:10:02.641
22817.46,Kumar Birla,Mumbai,Diversified,['Diversified'],India,1789134002641,M,117.0,22.82,2026-09-11 19:10:02.641
14319.903,Radhakishan Damani,Mumbai,"Retail, investments",['Fashion & Retail'],India,1789134002641,M,219.0,14.32,2026-09-11 19:10:02.641
13998.272,Uday Kotak,Mumbai,Banking,['Finance & Investments'],India,1789134002641,M,226.0,14.0,2026-09-11 19:10:02.641
13820.299,Murali Divi & family,Hyderabad,Pharmaceuticals,['Healthcare'],India,1789134002641,M,229.0,13.82,2026-09-11 19:10:02.641
13083.749,Sunil Mittal,Delhi,Telecom,['Telecom'],India,1789134002641,M,238.0,13.08,2026-09-11 19:10:02.641
12970.96,Kushal Pal Singh,London,Real estate,['Real Estate'],India,1789134002641,M,242.0,12.97,2026-09-11 19:10:02.641
11420.184,Vikram Lal & family,Delhi,Motorcycles,['Automotive'],India,1789134002641,M,306.0,11.42,2026-09-11 19:10:02.641
10738.745,Ravi Jaipuria,Delhi,"Soft drinks, fast food",['Food & Beverage'],India,1789134002641,M,337.0,10.74,2026-09-11 19:10:02.641
9419.337,Pankaj Patel,Ahmedabad,Pharmaceuticals,['Healthcare'],India,1789134002641,M,385.0,9.42,2026-09-11 19:10:02.641
9128.438,Satyanarayan Nuwal,Nagpur,Industrial explosives,['Manufacturing'],India,1789134002641,M,409.0,9.13,2026-09-11 19:10:02.641
8823.114,Rekha Jhunjhunwala,Mumbai,Investments,['Finance & Investments'],India,1789134002641,F,430.0,8.82,2026-09-11 19:10:02.641
8561.296,Rajan Mittal,Delhi,Telecom,['Telecom'],India,1789134002641,M,449.0,8.56,2026-09-11 19:10:02.641
8538.076,Rakesh Mittal,Delhi,Telecom,['Telecom'],India,1789134002641,M,452.0,8.54,2026-09-11 19:10:02.641
8173.191,Sudhir Mehta,Ahmedabad,"Pharmaceuticals, power",['Healthcare'],India,1789134002641,M,483.0,8.17,2026-09-11 19:10:02.641
8173.068,Samir Mehta,Ahmedabad,"Pharmaceuticals, power",['Healthcare'],India,1789134002641,M,484.0,8.17,2026-09-11 19:10:02.641
7877.914,Azim Premji,Bangalore,Software services,['Technology'],India,1789134002641,M,508.0,7.88,2026-09-11 19:10:02.641
7608.8,Hasmukh Chudgar & family,Ahmedabad,Pharmaceuticals,['Healthcare'],India,1789134002641,M,529.0,7.61,2026-09-11 19:10:02.641
7177.71,Venu Srinivasan,Chennai,Two-wheelers,['Automotive'],India,1789134002641,M,561.0,7.18,2026-09-11 19:10:02.641
7009.484,Rahul Bhatia,Delhi,Aviation,['Service'],India,1789134002641,M,579.0,7.01,2026-09-11 19:10:02.641
6541.156,Mangal Prabhat Lodha,Mumbai,Real estate,['Real Estate'],India,1789134002641,M,621.0,6.54,2026-09-11 19:10:02.641
6246.507,Anil Agarwal & family,London,"mining, metals",['Metals & Mining'],India,1789134002641,M,664.0,6.25,2026-09-11 19:10:02.641
6203.328,Kailashchandra Nuwal,Nagpur,Industrial explosives,['Manufacturing'],India,1789134002641,M,673.0,6.2,2026-09-11 19:10:02.641
5933.988,Balkrishan Goenka,Mumbai,Diversified,['Manufacturing'],India,1789134002641,M,705.0,5.93,2026-09-11 19:10:02.641
5749.92,M.A. Yusuff Ali,Abu Dhabi,Retail,['Fashion & Retail'],India,1789134002641,M,733.0,5.75,2026-09-11 19:10:02.641
5719.585,Rajiv Bajaj,Pune,Diversified,['Diversified'],India,1789134002641,M,734.0,5.72,2026-09-11 19:10:02.641
5719.585,Sanjiv Bajaj,Pune,Diversified,['Diversified'],India,1789134002641,M,734.0,5.72,2026-09-11 19:10:02.641
5674.357,Chandru Raheja,Mumbai,Real estate,['Real Estate'],India,1789134002641,M,745.0,5.67,2026-09-11 19:10:02.641
5623.663,Gopikishan Damani,Mumbai,"Retail, investments",['Fashion & Retail'],India,1789134002641,M,751.0,5.62,2026-09-11 19:10:02.641
5600.0,Renuka Jagtiani,Dubai,Retail,['Fashion & Retail'],India,1789134002641,F,754.0,5.6,2026-09-11 19:10:02.641
5512.219,Benu Gopal Bangur,Kolkata,Cement,['Manufacturing'],India,1789134002641,M,766.0,5.51,2026-09-11 19:10:02.641
5484.479,Joy Alukkas,Cochin,Jewelry,['Fashion & Retail'],India,1789134002641,M,775.0,5.48,2026-09-11 19:10:02.641
5433.62,Falguni Nayar,Mumbai,Retailing,['Fashion & Retail'],India,1789134002641,F,784.0,5.43,2026-09-11 19:10:02.641
5039.34,Jamshyd Godrej,Mumbai,"Consumer goods, real estate",['Real Estate'],India,1789134002641,M,860.0,5.04,2026-09-11 19:10:02.641
5039.336,Smita Crishna Godrej,Mumbai,Consumer goods,['Diversified'],India,1789134002641,F,861.0,5.04,2026-09-11 19:10:02.641
5032.822,Vikas Oberoi,Mumbai,Real estate,['Real Estate'],India,1789134002641,M,863.0,5.03,2026-09-11 19:10:02.641
4961.073,B. Partha Saradhi Reddy,Hyderabad,Pharmaceuticals,['Healthcare'],India,1789134002642,M,880.0,4.96,2026-09-11 19:10:02.642
